MWh/a,biogas,not included,solid biomass
AL0 0,509993.46097760956,10272864.087237468,2120117.632634001
AT0 0,2175530.675162904,38340983.587899804,35595631.72249973
BA0 0,477922.83779769967,26498248.868194867,2545564.610754042
BE0 0,13414911.25733809,20790559.27692447,20882560.749598823
BG0 0,1726703.671265712,31311697.061039075,24287274.52915317
CH0 0,460801.56350270024,10137876.217041107,18504479.003184374
CZ0 0,12539094.766051505,39053476.65436547,35638326.503602594
DE0 0,30824028.714262296,157466197.39608935,196546307.76898837
DK0 0,8880491.108198244,3030814.626350969,12365676.109784866
DK3 0,2027499.8207670278,1080331.6156820206,3995230.065021473
EE6 0,2244082.460231525,14786758.442104628,12047423.813933555
ES0 0,28699213.393684447,148426817.76297697,72142241.21016046
ES2 0,45879.61247829583,843160.1812581145,530002.4577649471
FI3 0,1854613.4166492554,53313955.37358226,49885787.03819609
FR0 0,71381512.8655093,271528794.2673944,147850247.70755568
GB4 0,5020510.567564285,1624796.7853817346,814314.5450279784
GB5 0,37985461.09409807,80900183.16125503,39417214.330258965
GR0 0,2046593.2534258612,14751760.139773473,9348925.11761808
HR0 0,894214.5342917856,17107304.048814796,7700168.046854535
HU0 0,17103876.47696228,52189808.70794844,30286324.855643418
IE4 0,4999423.312209849,9104089.62216704,5432953.711937807
IT0 0,32042885.102462605,108483106.04542644,61901828.092519924
IT1 0,568583.8267553732,2165196.105580215,1058192.6383891639
LT6 0,3928742.4505942664,35430621.82410342,14460936.231752237
LU0 0,457992.1333561999,1227932.8999910725,1313639.0959647067
LV6 0,2193107.1513542444,21018534.511645816,21133448.49685774
ME0 0,80409.62636445409,1448536.9378167673,275881.8350418279
MK0 0,194997.07935282864,7099315.047065431,1183559.8200637647
NL0 0,13489933.723413603,13784027.382157357,17227027.141365055
NO3 0,134139.78651341525,20338236.675660383,17247378.064702753
PL0 0,22002128.00851441,144565390.86957538,89936415.21379521
PT0 0,6212415.545993225,16520482.423167756,21463019.0662408
RO0 0,6587079.616594083,136811145.0669647,65812794.93429022
RS0 0,2997610.4422562355,26959754.355463624,8776682.460315274
SE3 0,5094116.835363851,92252306.67286073,104347081.10785472
SI0 0,569923.6245741836,12695276.712469744,13890817.885070283
SK0 0,3689838.534935883,17426878.540761434,17670978.730750334
