name,Electric arc,Integrated steelworks,DRI + Electric arc,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors,Ammonia,HVC,Chlorine,Methanol,HVC (mechanical recycling),HVC (chemical recycling)
AL0 0,26.41,39.61,0.0,6.24,0.77,39.98,77.18,9.47,11.73,28.43,2.17,445.23,88.72,26.6,39.92,183.7,0.0,0.0,210.34,3.82,133.81,0.0,16.02,2.95,0.46,0.0,0.0
AT0 0,726.69,6960.58,0.0,472.2,68.68,4446.93,7507.870000000002,717.37,1812.47,4964.52,209.6,5273.58,0.0,0.0,401.06,311.74,4195.06,17909.99,1053.99,1914.02,5334.98,485.71,761.05,140.21,21.95,0.0,0.0
BA0 0,485.83,728.74,0.0,7.14,0.88,1107.68,2138.37,262.48,27.76,67.25,5.13,515.49,64.03,19.2,28.81,132.58,182.01,765.24,222.06,80.26,207.48,0.0,18.33,3.38,0.53,0.0,0.0
BE0 0,2488.889999999999,4768.249999999998,0.0,1493.2200000000016,177.4600000000002,5550.63,13063.63,1396.07,2078.04,2149.23,392.7,12334.71,0.0,0.0,0.0,1971.86,7972.88,5938.97,2693.74,881.53,4498.06,1044.290000000001,3897.2300000000046,717.9900000000008,112.42000000000013,0.0,0.0
BG0 0,543.0,0.0,0.0,199.42,9.12,1568.66,2581.41,539.95,135.15,351.37,45.2,2032.98,0.0,0.0,15.58,491.77,498.55,3095.95,774.36,227.91,1859.33,380.07,636.19,117.21,18.35,0.0,0.0
CH0 0,250.39,375.58,0.0,302.29,37.08,2356.38,4548.97,558.37,326.04,789.9,60.21,3684.9,54.17,16.25,24.37,112.16,12021.66,3465.94,600.67,0.0,1664.89,36.43,749.94,138.16,21.63,0.0,0.0
CZ0 0,401.67,4859.92,0.0,667.3300000000002,24.860000000000007,4118.53,6962.910000000002,1604.66,435.23,740.32,109.2,4696.25,0.0,0.0,46.82,111.55,13252.96,21019.07,1562.81,880.72,4259.23,218.57000000000005,789.4500000000003,145.44000000000003,22.770000000000003,0.0,0.0
DE0 0,12877.510000000004,29798.180000000008,0.0,5227.349999999988,749.0599999999981,33222.149999999994,32272.49,7432.800000000004,2554.0000000000023,22608.000000000022,1464.4600000000014,33929.7,1453.2,518.19,575.72,2778.69,101293.31,164889.37,7493.39,7827.96,31072.79,3035.7099999999928,17230.139999999956,3174.3199999999924,497.0199999999988,0.0,0.0
DK0 0,0.0,0.0,0.0,536.95,113.79,2212.34,7033.196517560479,30.82729851836075,4.83,522.71,49.01,3599.3230750384996,0.0,0.0,0.0,0.0,402.8181669968348,4966.745456315115,189.2005954401882,197.65036875044987,1581.0790721541432,0.0,0.0,0.0,0.0,0.0,0.0
DK3 0,440.22,0.0,0.0,0.0,0.0,0.0,214.8634824395195,197.82270148163923,0.0,0.0,0.0,1921.2069249615001,0.0,0.0,0.0,0.0,215.01183300316524,2651.0945436848842,100.98940455981177,105.49963124955008,843.9309278458568,0.0,0.0,0.0,0.0,0.0,0.0
