kton/a,Electric arc,Integrated steelworks,DRI + Electric arc,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors,Ammonia,HVC,Chlorine,Methanol,HVC (mechanical recycling),HVC (chemical recycling)
NO,1920.79,0.00,823.20,656.10,80.48,9413.10,18171.93,2230.54,483.71,1171.89,89.32,3219.94,238.87,35.82,143.27,494.59,1437.67,3546.66,116.20,634.08,319.29,364.29,1426.80,262.86,41.16,0.00,0.00
CH,438.18,0.00,187.79,302.29,37.08,2356.38,4548.97,558.37,326.04,789.90,60.21,3684.90,54.17,8.12,32.50,112.16,12021.66,3465.94,600.67,0.00,1664.89,36.43,749.94,138.16,21.63,0.00,0.00
ME,18.28,0.00,7.83,2.29,0.28,238.65,460.71,56.55,0.38,0.92,0.07,161.30,1.93,0.29,1.15,3.99,0.00,101.98,3.10,46.48,117.97,0.00,5.89,1.08,0.17,0.00,0.00
MK,523.82,0.00,224.50,3.97,0.49,11.46,22.12,2.71,1.41,3.42,0.26,339.85,55.13,8.27,33.07,114.16,318.32,192.96,173.79,2.48,31.07,0.00,10.19,1.88,0.29,0.00,0.00
RS,1191.73,0.00,510.75,221.04,27.12,365.65,705.89,86.65,123.47,299.14,22.80,3376.04,299.37,44.89,179.57,619.86,1703.87,3959.72,1037.21,110.90,1039.08,88.64,504.71,92.98,14.56,0.00,0.00
BA,850.20,0.00,364.37,7.14,0.88,1107.68,2138.37,262.48,27.76,67.25,5.13,515.49,64.03,9.60,38.41,132.58,182.01,765.24,222.06,80.26,207.48,0.00,18.33,3.38,0.53,0.00,0.00
AL,46.21,0.00,19.81,6.24,0.77,39.98,77.18,9.47,11.73,28.43,2.17,445.23,88.72,13.30,53.22,183.70,0.00,0.00,210.34,3.82,133.81,0.00,16.02,2.95,0.46,0.00,0.00
FR,10113.33,0.00,4870.80,4489.53,434.87,18999.22,18105.33,5248.40,1725.00,7984.00,901.93,46660.88,694.34,205.32,475.40,659.87,33572.27,57911.62,4940.77,2668.80,16691.43,1262.86,4371.32,805.33,126.10,0.00,0.00
DE,27776.60,0.00,14899.09,5227.35,749.06,33222.15,32272.49,7432.80,2554.00,22608.00,1464.46,33929.70,1453.20,259.10,834.81,2778.69,101293.31,164889.37,7493.39,7827.96,31072.79,3035.71,17230.14,3174.32,497.02,0.00,0.00
GB,6419.83,0.00,4486.88,1462.14,404.99,11389.57,52717.08,3380.87,230.83,3970.00,966.24,26078.61,0.00,17.53,282.81,596.13,32532.17,54937.18,10414.68,0.00,33494.28,1020.00,2665.52,491.07,76.89,0.00,0.00
